id,title,description,datePosted,skills,categories,employmentTypes,locationTypes,countries,companyName,companyType,Industry
170854306,Real Estate Data Entry Operator,"REMAX Hawaii (formerly Better Homes and Gardens Real Estate Advantage Realty) provides comprehensive residential real estate services across Oahu and Maui. Celebrating 20 years of doing business in Hawaii, locally owned REMAX Hawaii has 6 offices across Oahu and Maui in Kahala, Kailua, Kakaako, Haleiwa, Kapolei and Wailuku with over 200 employees and licensed agents. They have created a clear strong corporate culture which has been a key to the growth and success of our company. Their agents and support staff are client centric and put the clients’ needs ahead of their own. Their core values of honesty, transparency, collaboration, commitment, charity, innovation and strong work ethic are communicated to the agents and employees from the initial interview and throughout every company interactionVoted Hawaii’s Best Real Estate Firm the past 13 years and a Best of Honolulu Company for 11 years. The company was also recognized as one the Best Places to Work by Hawaii Business magazine for the 6th year in a row.Learn more at http://remaxhawaii.comIn your role as a real estate data entry operator, you will play a crucial role in upkeep and updating our database. In order to maintain correct and current records, you will be responsible for accurately entering a variety of data. The ideal candidate for this role will have strong organizational skills, a sharp eye for detail, and the capacity to work independently in a remote setting.

Pay: $26.81 - $29.97 per hourResponsibilitiesUpdate and add transactions, client information, and real estate data to the database.Examine and amend data to make sure it is accurate and comprehensive.Collaborate with your teammates to resolve any discrepancies found in the data.Be mindful of privacy and abide by data security regulations.Assist in creating reports and presentations using the data acquired.Performing secretarial duties entails filing, monitoring office supplies, scanning, and printing as needed.A high school certificate or its equivalent; a bachelor's degree is ideal but not necessary.Solid background in data entry or a related field.Strong command of the language and procedures used in real estate.A strong command of computers, including the MS Office suite and data input programs.Remarkable precision and attention to detail.The capacity to operate autonomously with little guidance.Outstanding organizing and time management skills.Good communication abilities, particularly while working in a remote team.REMAX Hawaii is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, national origin, ancestry, sex, sexual orientation, gender identity, national origin, genetics, disability, marital status, age, veteran status, domestic partner status, medical condition or any other characteristic protected by law. All your information will be kept confidential according to EEO guidelines.",2025-10-05 18:16:11+00:00,Unknown,data,fulltime,remote,us,Better Homes and Gardens Real Estate Advantage Realty,Privately Held,Real Estate
170836782,Manager - Blue Rose Operations (Corporate FTE),"Shoulder salami prosciutto, biltong pancetta kielbasa cupim bacon chislic beef ribs bresaola ground round tri-tip. Hamburger pig jerky pork venison short loin ham hock, pork loin cow pancetta porchetta pastrami ball tip boudin capicola. Corned beef doner short ribs pastrami tenderloin. Shank corned beef ground round pork loin frankfurter turducken landjaeger porchetta pig salami. Chuck chislic pork chop drumstick doner pancetta sirloin frankfurter tri-tip bresaola chicken short loin turducken porchetta.Kevin shoulder strip steak cupim meatball, cow jowl andouille bresaola t-bone flank venison. Ham kevin shankle, flank picanha drumstick alcatra shank. Capicola jowl pork belly cupim chuck t-bone ground round pork chop fatback prosciutto tenderloin alcatra kielbasa ham frankfurter. Pork loin shoulder pastrami ball tip sirloin. Cupim drumstick boudin filet mignon turducken pig pastrami corned beef bacon ham hock. Tail jowl tongue strip steak. Pancetta pastrami cow strip steak biltong ball tip filet mignon chislic turducken kielbasa chicken.Turkey leberkas ham hock shankle corned beef ribeye shank cow frankfurter chicken pork chop pork loin. Hamburger ground round landjaeger pig beef ribeye beef ribs, flank shoulder pork belly. Landjaeger pig meatball ham filet mignon spare ribs tail flank. Alcatra frankfurter sirloin bresaola pastrami jowl spare ribs swine ground round porchetta tongue. Rump shankle short ribs, biltong fatback picanha frankfurter beef. Tongue chislic strip steak pork chop brisket fatback jerky jowl venison burgdoggen frankfurter cupim kevin ham ribeye. Jowl rump prosciutto, jerky swine picanha short ribs shank ball tip pancetta ham hock.All your information will be kept confidential according to EEO guidelines.",2025-10-05 01:02:19+00:00,Unknown,operations,fulltime,remote,us,Domino's Pizza Sandbox,Privately Held,"Technology, Information and Internet"
170836776,Franchise Test Job Kendra,All your information will be kept confidential according to EEO guidelines.,2025-10-05 01:03:03+00:00,Unknown,Unknown,fulltime,remote,us,Domino's Pizza Sandbox,Privately Held,"Technology, Information and Internet"
170833441,"Product Manager, Onboarding","About OnePayOnePay is a consumer financial services app with an exceedingly simple mission: to help people achieve financial progress.Tens of millions of Americans today are unbanked or underbanked, meaning they don’t have enough money in savings to cover a minor emergency. They pay too much in fees, don’t have access to credit at affordable rates, and have little ability to grow their wealth. OnePay’s vision is to create a single app for consumers to save, spend, borrow, and grow their money, bringing our mission to life with simple and accessible banking, credit, and payments products that deliver a best-in-class experience to millions of customers. Our products include:Checking and high-yield savings accountsDomestic and international peer-to-peer paymentsCredit Builder and credit score monitoringDigital wallet / contactless payment solutionsCredit card programBuy-now-pay-later installment loans at WalmartPrepaid mobile serviceWhy do we have a right to win? We have the backing of Walmart (a Fortune 1) and Ribbit Capital (a preeminent fintech investor), are deeply embedded with the distribution of the world’s largest omnichannel retailer, and have an industry-leading multi-product value proposition — all in addition to having some of the best people and talent in the industry.There’s never been a better time to build a category-defining business and there has rarely been a team better positioned for the opportunity. Join us!The RoleOur Product Manager for Onboarding at OnePay will own the end-to-end new account experience for our Cash product, ensuring every customer’s first step with us is simple, trusted, and rewarding. You’ll drive initiatives that accelerate growth by making it easier for new customers to join OnePay through organic, retail, and partner channels, while also strengthening cross-sell opportunities from our broader product ecosystem. You will:Own product strategy and roadmap for OnePay Cash customer acquisition through our organic, retail, and partner channelsDefine and optimize the cross sell journeys from other OnePay products into the Cash productPartner with cross-functional teams such as design, legal, compliance, and engineering to launch and manage new features that drive customer acquisition at OnePayYou Bring7–10 years of product management experience, ideally in consumer fintech, with expertise in customer acquisition and onboardingExperience building 0→1 consumer products with measurable adoption and engagement impactExperience building and scaling API-driven product experiences, with a focus on usability, reliability, and partner integrationA strong consumer-first mindset and deep empathy for everyday financial challengesComfort operating in fast-moving, ambiguous environments, with the ability to structure open-ended problems and execute with a bias for actionExcellent cross-functional collaboration skills; proven track record working with engineering, design, analytics, and business leadersDrive and proactivity - everyone here is a builder and executorWhat We OfferCompetitive base salary, stock options, and health benefits from Day 1401(k) plan with company matchRemote-friendly (US), flexible time off (FTO), and opportunities for growthA high-growth, mission-driven, inclusive culture where your work has real impactStandard Interview ProcessInitial Interview with Talent PartnerTechnical or Hiring Manager InterviewTeam InterviewExecutive InterviewOffer!Equal Employment OpportunityTo build technology and products that are used and loved by people and solve real-world problems, we need to build a team with many different perspectives and experiences. We are an equal opportunity employer. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status. We encourage candidates from all backgrounds to apply. Applicants in need of special assistance or accommodation during the interview process or in accessing our website may contact us at talent@onepay.com.",,Unknown,"product, product-manager",fulltime,remote,us,One,Privately Held,Financial Services
170833435,Technical Product Specialist,"At Puzzle, we’re not just building accounting software- we’re fundamentally reimagining it. Our cutting-edge platform seamlessly integrates with modern fintech tools, offering founders and finance teams a real-time and comprehensive view of their financial landscape like never before.What We're Looking ForAs a Technical Product Specialist, you’ll be on the front lines ensuring Puzzle delivers a seamless, high-quality experience for our customers. You’ll work closely with Customer Success, Engineering, and Product to triage technical issues, identify and investigate critical bugs, and help maintain the high reliability and performance our users expect.What You’ll DoBecome a Puzzle Expert: Develop deep expertise in every aspect of the Puzzle platform - features, workflows, edge case - so you can provide authoritative guidance, uncover root causes quickly, and anticipate customer needs.Provide Technical Customer Support: Offer guidance directly to customers and customer success managers on troubleshooting steps and best practices.Lead Technical Issue Triage: Identify, document, and prioritize technical issues from customers and internal teams—distinguishing between “nice-to-have” and “customer-blocking.”Write Clear, Actionable Bug Reports: Create detailed, reproducible bug reports and gather logs or screenshots that help engineers resolve problems quickly.Test Pre-Release Features: Test new features before release to catch issues early and keep our platform stable.Drive Issue Resolution: Serve as the bridge between Customer Success and Engineering, ensuring smooth communication and quick resolution of high-priority incidents.Continuously Improve Processes: Suggest and refine internal workflows to make issue tracking, escalation, and resolution more efficient.Who You Are2+ years of experience in a technical support, product specialist, QA, or related role in a SaaS or software environment.Strong problem-solving skills and an activated curiosity to dig into root causes.Motivated by nebulous problems, excited to work in a fast-paced startup environment; comfortable with ambiguity. Ability to translate technical details into clear, concise documentation.Comfortable analyzing logs, investigating performance issues, or using tools like Zendesk, Intercom, Linear, Datadog, and Retool (or eager to learn).Excellent communication skills and a collaborative mindset; you enjoy working with engineers, product managers, and customer-facing teams.Familiarity with Accounting Principles is a plus but not required.What’s in it for you?Join Puzzle Financial at a pivotal growth stage where you'll help redefine and reimagine how companies handle their financials while building your career in a flexible, remote-first environment. You'll have the opportunity to make a significant impact, work with innovative founders, and develop valuable expertise at the intersection of modern accounting and fintech.Here is a preview of some of the amazing benefits here at Puzzle:Competitive base pay and meaningful equity100% paid employee health, dental, and vision plans (U.S. & Canada vary)10 observed holidays and a flexible PTO policy so you can recharge$1000 home office budget to get you set up for success$2400 co-working budget for face time with your colleagues$600 learning and development budget401K so you can save for your futureAnd much more*Visa Sponsorship Notice: Puzzle does not provide visa sponsorship for new hires at this time. We can only consider candidates who are legally authorized to work in the U.S. or Canada without requiring new visa sponsorship or transfer of an existing visa.Puzzle is an equal opportunity and affirmative action employer. We welcome and encourage diversity in the workplace regardless of gender, race or color, ethnicity or national origin, age, disability, religion, sexual orientation, gender identity or expression, veteran status, or any other characteristics protected by law.Candidates should be currently residing in the U.S. or Canada to be eligible for this position. If hired, you will be required to present proof of work authorization. This employer is a participant of the E-Verify program.",,Unknown,product,fulltime,remote,"ca, us",Puzzle 🧩🚀,Privately Held,Software Development
170819900,"Remote Tax Director, CPA (JF1021408)","A CPA and Consulting firm is looking for a forward-thinking Tax Director who can design and execute innovative tax strategies that maximize profitability, ensure compliance, and strengthen the financial health of the firm's clients. This role reports directly to the CEO, works closely with executive leadership, and is central to shaping the firm’s tax advisory service line.The Tax Director will build and lead the firm's tax advisory function, ensure clients benefit from cutting-edge tax planning, compliance, and optimization strategies. The role blends technical expertise with strategic leadership, helping clients navigate evolving tax regulations while identifying opportunities to reduce liabilities, diversify funding, and maximize after-tax profitability.As a leader in the Tax Strategy Team, you will touch every tax-related engagement in some capacity and will lead on the following core areas:Strategic Tax PlanningDevelop and implement comprehensive tax strategies tailored to businesses, including healthcare and service-based organizations.Lead tax planning for mergers, acquisitions, restructurings, and new program initiatives.Advise executive leadership on the tax implications of strategic business decisions.General Tax ResponsibilitiesClient Engagement Leadership: Lead client kickoff meetings with the Sales Team, establish strong relationships, set expectations as you assume ownership of accounts.Financial Preparation & Review: Oversee preparation and review of financial statements, reports, and analyses, ensuring accuracy, timeliness, and compliance with regulatory standards. Provide executive-level consulting on results.Quarterly Meetings & Projections: Lead quarterly client meetings to review performance, deliver feedback, and present strategic tax projections.Quarterly Estimates: Direct review of YTD business and personal income for clients, ensuring accurate recalculation of estimated payments and identification of key advisory items.Tax Return Oversight: Supervise preparation and review of business and individual income tax returns; ensure accuracy and maximize tax efficiency.Tax Strategy Research: Oversee and perform research on complex or unusual tax issues, delivering actionable strategies for clients.Tax Notices & Representation: Lead preparation of responses to taxing agencies, resolve client issues, and act as primary liaison for escalated matters.Sales & Indirect Tax: Oversee preparation and submission of sales tax filings and compliance with state-specific requirements.Detail Review & Quality Assurance: Directly review staff-prepared tax return work, reconcile source documents with client software, and ensure audit-ready accuracy.Financial Statement Oversight: Support preparation of monthly/quarterly financial statements and board packages, reconciling complex accounts and reviewing workpapers.Tax Systems & Database Management: Ensure client records and tax databases are organized, current, and compliant.Tax Planning & Reduction Strategies: Design, implement, and communicate tax reduction and optimization strategies for clients.Ad Hoc Leadership: Perform additional strategic duties as assigned to enhance client tax outcomes and firm profitability.Compliance & Risk ManagementEnsure client compliance with federal, state, and local tax laws and reporting requirements.Monitor tax legislation and proactively implement strategy updates.Oversee audit readiness, minimizing risk of penalties or adjustments.Revenue OptimizationIdentify and leverage supplemental payment programs, grants, and alternative funding models.Evaluate the true cost of service delivery versus reimbursement to close financial gaps.Align organizations with the most beneficial reimbursement structures.Leadership & CollaborationPartner with Finance, Legal, and Operations to align tax strategies with broader business objectives.Manage relationships with external tax advisors, auditors, and regulatory bodies.Educate clients and internal teams on evolving tax opportunities and risks.Supervise senior managers and below.7+ years of progressive tax experience, ideally in healthcare, financial services, or consulting.Proven track record in strategic tax planning, compliance, and risk management.Strong knowledge of federal and state tax regulations, with exposure to international tax a plus.Accounting experience to be able to support accounting functionsExperience advising executive leadership on tax-related business strategy.Experience managing remote teams.CPA license or JD strongly preferredCPA firm experience REQUIREDExpertise in QuickBooks online and desktop, UltraTax, Excel/Google SheetsFamiliarity with CRM';s or client portalsExperience with workflow/project tools (ClickUp, Asana, Trello, Monday)Excellent analytical, organizational, and communication skills.Bachelor’s degree in Accounting, Finance, or related field requiredPrior leadership experience in a mid-sized firm or consulting environment; Big4 experience a plusBenefits:4 weeks PTOHealth, vision, and dental insuranceRetirement account with 3% company matchRemote work environmentCompany issued laptopEmployee Discounts If you feel you have the necessary qualifications, please forward a current copy of your resume and state your salary requirement.",2025-10-04 14:58:14+00:00,trello,Unknown,fulltime,remote,us,RES Consultant Group,Unknown,Unknown
170803447,Technical Writer - eLearning Developer,"This position is posted by Jobgether on behalf of a partner company. We are currently looking for a Technical Writer - eLearning Developer in Massachusetts (USA).This role offers an exciting opportunity to shape user education and documentation for a growing software platform. You will create and maintain training materials, online help content, and interactive learning experiences that empower customers to use the software efficiently. Working in a collaborative and fast-paced environment, you will turn customer feedback into actionable content updates, ensuring users stay current with new features. The ideal candidate is highly organized, technically proficient, and passionate about delivering clear, engaging, and effective instructional content. You will also contribute to the ongoing evolution of documentation processes while supporting rapid product growth. Flexibility, creativity, and strong communication skills are key to success in this position. AccountabilitiesDesign, develop, and maintain training and documentation deliverables for a new software offering.Build and expand the content catalog using best practices and appropriate technology.Develop robust online help sites to onboard customers quickly and efficiently.Turn customer support feedback into updated content, ensuring timely and accurate information.Produce engaging eLearning modules, screen recordings, and instructional videos.Collaborate with product and engineering teams to understand new features and translate them into user-focused content.RequirementsExcellent written and verbal communication, research, and organizational skills.Ability to manage multiple priorities and work independently with minimal supervision.Strong sense of urgency and ability to produce content quickly.Expert knowledge of Git and Markdown with verifiable experience.Experience with static site generators such as HUGO or equivalent.Experience designing enterprise software documentation and training materials.Proficiency with screen recording and video editing tools (e.g., Camtasia).Experience with rapid eLearning development tools such as Articulate Storyline or Adobe Captivate.Must be legally authorized to work in the United States.Nice to Have:Familiarity with software development processes and cloud-based software.Experience in agile environments.Experience writing for regulated industries, preferably Life Sciences. BenefitsMedical, dental, vision, and basic life insurance coverage.Flexible PTO and company-paid holidays.Retirement programs with potential contributions.1% charitable giving program.Competitive base salary: $75,000 - $115,000, with potential variable bonuses or stock options.Remote work flexibility. Jobgether is a Talent Matching Platform that partners with companies worldwide to efficiently connect top talent with the right opportunities through AI-driven job matching.When you apply, your profile goes through our AI-powered screening process designed to identify top talent efficiently and fairly. 🔍 Our AI evaluates your CV and LinkedIn profile thoroughly, analyzing your skills, experience, and achievements. 📊 It compares your profile to the job’s core requirements and past success factors to determine your match score. 🎯 Based on this analysis, we automatically shortlist the 3 candidates with the highest match to the role. 🧠 When necessary, our human team may perform an additional manual review to ensure no strong profile is missed.The process is transparent, skills-based, and free of bias — focusing solely on your fit for the role. Once the shortlist is completed, we share it directly with the company that owns the job opening. The final decision and next steps (such as interviews or additional assessments) are then made by their internal hiring team.Thank you for your interest! #LI-CL1",2025-10-04 00:00:00+00:00,git,writing,fulltime,remote,us,Jobgether,Privately Held,Internet Marketplace Platforms
170803446,Sr. Software Engineer (Remote - US),"This position is posted by Jobgether on behalf of a partner company. We are currently looking for a Sr. Software Engineer in the United States.As a Sr. Software Engineer on the Marketplace Team, you will design and build solutions that empower enterprises to discover, request, and access data securely and efficiently. You will work across the full stack, contributing to both frontend and backend systems, shaping workflows, APIs, and user experiences that balance usability with governance. This role offers the chance to impact the way organizations unlock value from their data while collaborating with a mission-driven, innovative team. You will engage in architectural discussions, mentor peers, and influence engineering best practices, all in a culture that emphasizes learning, innovation, and tangible results. Creativity, technical excellence, and a passion for secure, user-friendly systems are essential to thrive in this position. AccountabilitiesDevelop and maintain features across frontend (Angular, Typescript, NestJS) and backend systems for data discovery, access requests, and approval workflows.Design APIs and services to support secure, scalable, and dynamic data access.Write clean, maintainable, testable, and high-quality code across the stack.Collaborate with product managers, designers, and fellow engineers to deliver intuitive, user-focused solutions.Contribute to performance tuning, multi-tenant design, and microservices architecture.Support team initiatives around CI/CD, DevOps practices, and improving developer experience.Mentor peers, participate in code reviews, and promote strong engineering practices. Requirements5+ years of experience delivering production-ready software.Proficiency in Typescript/JavaScript and hands-on experience with modern frontend frameworks (Angular, React, or Vue).Experience designing and querying relational databases (PostgreSQL preferred).Strong computer science fundamentals: object-oriented design, algorithms, complexity analysis, and design patterns.Experience building workflow-driven features that balance usability with security.Passion for crafting seamless user experiences from polished UIs to reliable APIs.Bonus: experience with multi-tenant architectures, event-driven systems, microservices, Docker, or Kubernetes.Must be authorized to work in the United States without visa sponsorship. Benefits100% employer-paid healthcare (medical, dental, vision) for employees and dependents.Stock options to share in company success.Paid parental leave (maternity and paternity).Unlimited paid time off for U.S.-based positions.Learning and development resources to support personal and professional growth.Hybrid work flexibility and collaborative, innovative team culture. Jobgether is a Talent Matching Platform that partners with companies worldwide to efficiently connect top talent with the right opportunities through AI-driven job matching.When you apply, your profile goes through our AI-powered screening process designed to identify top talent efficiently and fairly. 🔍 Our AI evaluates your CV and LinkedIn profile thoroughly, analyzing your skills, experience, and achievements. 📊 It compares your profile to the job’s core requirements and past success factors to determine your match score. 🎯 Based on this analysis, we automatically shortlist the 3 candidates with the highest match to the role. 🧠 When necessary, our human team may perform an additional manual review to ensure no strong profile is missed.The process is transparent, skills-based, and free of bias — focusing solely on your fit for the role. Once the shortlist is completed, we share it directly with the company that owns the job opening. The final decision and next steps (such as interviews or additional assessments) are then made by their internal hiring team.Thank you for your interest! #LI-CL1",2025-10-04 00:00:00+00:00,"angular, cicd, devops, docker, javascript, kubernetes, nestjs, postgresql, react, typescript","engineering, software-development",fulltime,remote,us,Jobgether,Privately Held,Internet Marketplace Platforms
170803445,Sr. RPG Developer,"This position is posted by Jobgether on behalf of a partner company. We are currently looking for a Sr. RPG Developer in Eagan, MN.This senior-level role offers the opportunity to lead and enhance iSeries applications that support critical business operations. The ideal candidate will focus on implementing scalable solutions, addressing backlog enhancement requests, and supporting client-focused initiatives. Working within a hybrid Agile/Waterfall environment, you will collaborate with system analysts, technical leads, and business users to translate requirements into robust, high-quality software. This role requires a detail-oriented, solution-driven professional capable of providing technical guidance, troubleshooting complex issues, and delivering production-ready code. You will have a direct impact on application performance, system stability, and user satisfaction while working with a dynamic development team in fast-paced project cycles. AccountabilitiesAnalyze, design, code, test, debug, and document RPG and related applications for iSeries (AS/400).Investigate, identify, and implement application system changes to meet business and client requirements.Collaborate with system analysts, technical leads, and business users to develop and implement acceptance test plans.Maintain and enhance existing applications, ensuring compliance with regulatory and security requirements (HIPAA, PCI, CMS).Participate in both Agile (70%) and Waterfall development processes, supporting two-week sprint cycles and project backlogs.Provide technical guidance and recommendations to team members, translating abstract concepts into stable, maintainable solutions. RequirementsBachelor's degree in Computer Science or related field, or equivalent experience; High School Diploma or GED required.Minimum 8 years of experience with IBM iSeries technologies, including RPG IV (ILE), RPGLE, CLLE, and SQLRPGLE.Experience with source code management and change control tools (e.g., MKS).At least 2 years of experience translating functional and non-functional requirements into system requirements.Proven ability to work in a regulated environment with security and compliance considerations.Strong technical problem-solving and analytical skills with excellent documentation abilities.Ability to communicate effectively with all levels of the organization and provide excellent customer service.Eligible to work in the United States without need for sponsorship. BenefitsCompetitive hourly rate: $60 – $65 per hour W2.100% remote work flexibility.Health, dental, and vision coverage.401(k) retirement plan with employer contributions.Voluntary life, critical illness, and accident insurance.Sick pay and commuter benefits where applicable.Access to professional development and career growth opportunities. Jobgether is a Talent Matching Platform that partners with companies worldwide to efficiently connect top talent with the right opportunities through AI-driven job matching.When you apply, your profile goes through our AI-powered screening process designed to identify top talent efficiently and fairly. 🔍 Our AI evaluates your CV and LinkedIn profile thoroughly, analyzing your skills, experience, and achievements. 📊 It compares your profile to the job’s core requirements and past success factors to determine your match score. 🎯 Based on this analysis, we automatically shortlist the 3 candidates with the highest match to the role. 🧠 When necessary, our human team may perform an additional manual review to ensure no strong profile is missed.The process is transparent, skills-based, and free of bias — focusing solely on your fit for the role. Once the shortlist is completed, we share it directly with the company that owns the job opening. The final decision and next steps (such as interviews or additional assessments) are then made by their internal hiring team.Thank you for your interest! #LI-CL1",2025-10-04 00:00:00+00:00,Unknown,Unknown,fulltime,remote,us,Jobgether,Privately Held,Internet Marketplace Platforms
170803444,Software Engineer in Test (Remote),"This position is posted by Jobgether on behalf of a partner company. We are currently looking for a Software Engineer in Test in Massachusetts (USA).This role provides an exciting opportunity to impact software quality and reliability by designing and maintaining automated testing frameworks for APIs and infrastructure. You will develop tools to improve testing efficiency, simplify debugging, and deliver high-level reporting on automation results. Operating in a collaborative, innovative, and fast-paced environment, you will help ensure software products meet high standards of performance and reliability. The ideal candidate is highly technical, detail-oriented, and motivated to drive results, while also contributing to mentoring and best practices within the engineering team. Flexible work arrangements and a focus on professional growth make this role both challenging and rewarding. AccountabilitiesDesign, develop, and maintain automated testing frameworks for APIs and infrastructure.Build innovative tools to improve testing efficiency, streamline debugging, and communicate results effectively.Monitor, analyze, and report on test automation outcomes, providing actionable insights to engineering teams.Integrate automation into CI/CD pipelines and collaborate with developers to ensure quality at scale.Mentor team members, fostering skill development and process improvement. Requirements4+ years of experience in software engineering with a focus on quality and automation.Proficiency in Java and Python, with experience in AWS, REST APIs, CI/CD, and Jenkins.Strong understanding of software development lifecycle, test methodologies, and automation tools.Proven ability to design, develop, and maintain test automation frameworks.Excellent problem-solving, critical thinking, and communication skills.Bachelor’s degree in computer science, software engineering, or a related field.Must live in Eastern or Central time zones and have unrestricted right to work in the United States.Nice to Have:Experience with performance testing. BenefitsMedical, dental, vision, and basic life insurance coverage.Flexible PTO and company-paid holidays.Retirement programs with potential contributions.1% charitable giving program.Competitive base salary: $75,000 - $150,000, with potential variable bonuses or stock options.Remote work flexibility. Jobgether is a Talent Matching Platform that partners with companies worldwide to efficiently connect top talent with the right opportunities through AI-driven job matching.When you apply, your profile goes through our AI-powered screening process designed to identify top talent efficiently and fairly. 🔍 Our AI evaluates your CV and LinkedIn profile thoroughly, analyzing your skills, experience, and achievements. 📊 It compares your profile to the job’s core requirements and past success factors to determine your match score. 🎯 Based on this analysis, we automatically shortlist the 3 candidates with the highest match to the role. 🧠 When necessary, our human team may perform an additional manual review to ensure no strong profile is missed.The process is transparent, skills-based, and free of bias — focusing solely on your fit for the role. Once the shortlist is completed, we share it directly with the company that owns the job opening. The final decision and next steps (such as interviews or additional assessments) are then made by their internal hiring team.Thank you for your interest!#LI-CL1",2025-10-04 00:00:00+00:00,"aws, cicd, java, jenkins, python","engineering, software-development",fulltime,remote,us,Jobgether,Privately Held,Internet Marketplace Platforms
